a_value,b_value
-0.500000,0.135384
-0.496667,0.024119
-0.493333,0.092758
-0.490000,0.015002
-0.486667,0.052350
-0.483333,0.111703
-0.480000,0.078760
-0.476667,0.137422
-0.473333,0.132789
-0.470000,0.124561
-0.466667,0.160937
-0.463333,0.062218
-0.460000,0.085704
-0.456667,0.117695
-0.453333,0.119090
-0.450000,0.032891
-0.446667,0.153496
-0.443333,0.105907
-0.440000,0.056523
-0.436667,0.103743
-0.433333,0.166569
-0.430000,0.175300
-0.426667,0.070836
-0.423333,0.022377
-0.420000,0.146424
-0.416667,0.131676
-0.413333,0.015633
-0.410000,0.196896
-0.406667,0.106864
-0.403333,0.173737
-0.400000,0.088916
-0.396667,0.052301
-0.393333,0.210491
-0.390000,0.148886
-0.386667,0.194587
-0.383333,0.213194
-0.380000,0.022407
-0.376667,0.058525
-0.373333,0.061550
-0.370000,0.151680
-0.366667,0.095516
-0.363333,0.083158
-0.360000,0.144106
-0.356667,0.210559
-0.353333,0.088919
-0.350000,0.206585
-0.346667,0.104958
-0.343333,0.089136
-0.340000,0.202920
-0.336667,0.095511
-0.333333,0.206709
-0.330000,0.201212
-0.326667,0.199322
-0.323333,0.229238
-0.320000,0.172761
-0.316667,0.075291
-0.313333,0.035727
-0.310000,0.083369
-0.306667,0.081519
-0.303333,0.217775
-0.300000,0.073338
-0.296667,0.184808
-0.293333,0.059884
-0.290000,0.104968
-0.286667,0.116058
-0.283333,0.056956
-0.280000,0.173160
-0.276667,0.067272
-0.273333,0.121191
-0.270000,0.084217
-0.266667,0.160850
-0.263333,0.082391
-0.260000,0.067039
-0.256667,0.117595
-0.253333,0.177158
-0.250000,0.059928
-0.246667,0.203506
-0.243333,0.226192
-0.240000,0.247585
-0.236667,0.100687
-0.233333,0.200396
-0.230000,0.137613
-0.226667,0.193138
-0.223333,0.170170
-0.220000,0.118711
-0.216667,0.105760
-0.213333,0.223917
-0.210000,0.169482
-0.206667,0.175756
-0.203333,0.156038
-0.200000,0.148028
-0.196667,0.195227
-0.193333,0.185034
-0.190000,0.243650
-0.186667,0.247974
-0.183333,0.233307
-0.180000,0.249249
-0.176667,0.203300
-0.173333,0.131859
-0.170000,0.213728
-0.166667,0.169905
-0.163333,0.200891
-0.160000,0.134987
-0.156667,0.197892
-0.153333,0.280306
-0.150000,0.216629
-0.146667,0.090462
-0.143333,0.134004
-0.140000,0.170856
-0.136667,0.282217
-0.133333,0.169888
-0.130000,0.113369
-0.126667,0.100759
-0.123333,0.238060
-0.120000,0.151170
-0.116667,0.197290
-0.113333,0.302220
-0.110000,0.236361
-0.106667,0.286011
-0.103333,0.284272
-0.100000,0.169744
-0.096667,0.151526
-0.093333,0.182218
-0.090000,0.157221
-0.086667,0.293234
-0.083333,0.199958
-0.080000,0.245394
-0.076667,0.148239
-0.073333,0.142996
-0.070000,0.296064
-0.066667,0.278143
-0.063333,0.313734
-0.060000,0.298335
-0.056667,0.157448
-0.053333,0.196172
-0.050000,0.327408
-0.046667,0.209556
-0.043333,0.317815
-0.040000,0.232586
-0.036667,0.249469
-0.033333,0.259363
-0.030000,0.185770
-0.026667,0.147289
-0.023333,0.321620
-0.020000,0.173763
-0.016667,0.286719
-0.013333,0.188787
-0.010000,0.236967
-0.006667,0.305261
-0.003333,0.275767
0.000000,0.187085
0.003333,0.354117
0.006667,0.265562
0.010000,0.208520
0.013333,0.180590
0.016667,0.205775
0.020000,0.241272
0.023333,0.326983
0.026667,0.354908
0.030000,0.240146
0.033333,0.357898
0.036667,0.260864
0.040000,0.284544
0.043333,0.271737
0.046667,0.342245
0.050000,0.326267
0.053333,0.208804
0.056667,0.320855
0.060000,0.278220
0.063333,0.267800
0.066667,0.348295
0.070000,0.374105
0.073333,0.344830
0.076667,0.307870
0.080000,0.209125
0.083333,0.323595
0.086667,0.392480
0.090000,0.256682
0.093333,0.353198
0.096667,0.242231
0.100000,0.285979
0.103333,0.351043
0.106667,0.376624
0.110000,0.257820
0.113333,0.284433
0.116667,0.292262
0.120000,0.312508
0.123333,0.326370
0.126667,0.324149
